Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_114_length_12391_cov_22.580724	744	1601	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_134_length_10934_cov_37.104511	70	972	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	EXACTX	301	301	100.00	100.00	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_134_length_10934_cov_37.104511	972	2207	+	mrx(A)	phosphorylated macrolide efflux MFS transporter Mrx(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	EXACTX	412	412	100.00	100.00	412	WP_000004159.1	phosphorylated macrolide efflux MFS transporter Mrx(A)	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_134_length_10934_cov_37.104511	6289	7125	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_134_length_10934_cov_37.104511	7122	7466	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_134_length_10934_cov_37.104511	7675	8460	-	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	262	262	100.00	100.00	262	WP_000503573.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_134_length_10934_cov_37.104511	8594	9064	-	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_001389366.1	trimethoprim-resistant dihydrofolate reductase DfrA17	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_162_length_8539_cov_28.782335	504	1337	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_162_length_8539_cov_28.782335	1340	2140	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	267	267	100.00	99.63	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_162_length_8539_cov_28.782335	2204	3016	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_162_length_8539_cov_28.782335	6381	7577	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804063.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_333_length_1987_cov_4.937634	834	1568	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_002321849.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_61_length_22127_cov_5.709955	97	567	+	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	157	157	100.00	99.36	157	WP_000777554.1	trimethoprim-resistant dihydrofolate reductase DfrA1	NA	NA
ESC_AC7681AA_AS	NA	ESC_AC7681AA_AS_NODE_61_length_22127_cov_5.709955	665	1186	+	sat2	streptothricin N-acetyltransferase Sat2	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	174	174	100.00	100.00	174	WP_000704156.1	streptothricin N-acetyltransferase Sat2	NA	NA
